Directory,Original ADR Text,Approx Match - Standard Code,Approx Match - Standard Text,Approx Match - SCT Text,Approx Match - Fuzzy Similarity,Embedding Match - Standard Code,Embedding Match - Standard Text,Embedding Match - SCT Text,Embedding Match - Cosine Similarity
LIPITOR.304,pains,22253000,Pain,pains,100,22253000,Pain,pains,1.0
LIPITOR.304,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.304,severe,76948002,Severe pain,severe pains,67,76948002,Severe pain,severe pains,0.5605
LIPITOR.304,pains,22253000,Pain,pains,100,22253000,Pain,pains,1.0
LIPITOR.304,severe,76948002,Severe pain,severe pains,67,76948002,Severe pain,severe pains,0.5605
LIPITOR.304,cramps/pains,55300003,Muscle cramp,cramps,67,55300003,Muscle cramp,cramps,0.8823
LIPITOR.969,side effect,239720000,Tear of meniscus of knee,tore my knee,35,22253000,Pain,pain,0.3763
LIPITOR.531,side effects,80449002,Muscle fatigue,fatigue in forearms,39,124054003,Increased cholesterol esters,high cholesterol,0.2471
LIPITOR.703,side,224962007,Hot sweats,sweats,40,43724002,Chill,chills,0.2603
LIPITOR.703,affects,224962007,Hot sweats,sweats,46,35489007,Depression,depression,0.3401
LIPITOR.703,terrible,68962001,Myalgia,terrible muscle pain,57,68962001,Myalgia,terrible muscle pain,0.3625
LIPITOR.703,muscle,68962001,Myalgia,muscles hurt,67,68962001,Myalgia,muscles hurt,0.6369
LIPITOR.703,pain,81680005,Neck pain,Neck pain,62,68962001,Myalgia,terrible muscle pain,0.6089
VOLTAREN-XR.21,side effects,162059005,Upset stomach,stomach upset,32,162059005,Upset stomach,stomach upset,0.3123
VOLTAREN.14,loss,371405004,Disorder of eye,Eye problem,13,371405004,Disorder of eye,Eye problem,0.1677
ARTHROTEC.124,side effects,449917004,Cramp in lower limb,muscles in my left leg locked up,32,25064002,Headache,headaches,0.4086
LIPITOR.25,problems,308925008,Digestive symptom,digestion problems,62,308925008,Digestive symptom,digestion problems,0.3519
LIPITOR.358,polyathralgia,35678005,Arthralgia of multiple joints,severe polyathralgia in ankles,60,35678005,Arthralgia of multiple joints,severe polyathralgia in ankles,0.7138
VOLTAREN.13,allergic reaction,419076005,Allergic reaction,allergic reaction,100,419076005,Allergic reaction,allergic reaction,1.0
VOLTAREN.13,itchy,418290006,Itching,itchy,100,418290006,Itching,itchy,1.0
LIPITOR.704,side effects,57676002,Arthralgia,pain in joints,31,48167000,Amnesia,memory loss,0.2418
LIPITOR.704,similar complaints,57676002,Arthralgia,pain in joints,50,48167000,Amnesia,memory loss,0.2441
LIPITOR.152,rash,271807003,Rash,rash,100,271807003,Rash,rash,1.0
LIPITOR.152,forehead,271807003,Rash,Rashes,43,249489001,Choking,choking,0.3965
LIPITOR.152,insomnia,193462001,Insomnia,insomnia,100,193462001,Insomnia,insomnia,1.0
LIPITOR.152,big time,116289008,Abdominal bloating,bloating of stomach,44,24199005,Feeling agitated,aggitated,0.2435
LIPITOR.152,sweats,224962007,Hot sweats,sweats,100,224962007,Hot sweats,sweats,1.0
LIPITOR.152,so severe,371405004,Disorder of eye,eye problems,38,249489001,Choking,choking,0.3231
LIPITOR.152,Rashes,271807003,Rash,Rashes,100,271807003,Rash,Rashes,1.0
LIPITOR.152,arms,271807003,Rash,rash,50,224962007,Hot sweats,sweats,0.4525
LIPITOR.152,legs,224962007,Hot sweats,sweats,40,224962007,Hot sweats,sweats,0.4122
LIPITOR.152,choking,249489001,Choking,choking,100,249489001,Choking,choking,1.0
VOLTAREN-XR.19,rash,271807003,Rash,rash,100,271807003,Rash,rash,1.0
VOLTAREN-XR.19,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
VOLTAREN-XR.19,bloated stomach,116289008,Abdominal bloating,bloated stomach,100,116289008,Abdominal bloating,bloated stomach,1.0
VOLTAREN-XR.19,gas,162076009,Excessive upper gastrointestinal gas,gas,100,162076009,Excessive upper gastrointestinal gas,gas,1.0
VOLTAREN-XR.19,muscle weakness,26544005,Muscle weakness,muscle weakness,100,26544005,Muscle weakness,muscle weakness,1.0
VOLTAREN-XR.19,weakness,13791008,Asthenia,weakness,100,13791008,Asthenia,weakness,1.0
VOLTAREN-XR.19,rash,271807003,Rash,rash,100,271807003,Rash,rash,1.0
LIPITOR.199,injury,68172002,Disorder of tendon,tendinopathy,33,34840004,Tendonitis,tendinitis,0.4698
LIPITOR.951,Statins,307413004,Transient memory loss,transient amnesia,42,3877011000036101,Lipitor,Lipitor,0.3343
ARTHROTEC.123,bleeding,131148009,Bleeding,bleeding,100,131148009,Bleeding,bleeding,1.0
VOLTAREN.25,allergic reaction,419076005,Allergic reaction,allergic reaction,100,419076005,Allergic reaction,allergic reaction,1.0
VOLTAREN.25,itch,275921007,Scalp itchy,itch on my head,42,275921007,Scalp itchy,itch on my head,0.7783
VOLTAREN.25,allergic,419076005,Allergic reaction,allergic reaction,64,419076005,Allergic reaction,allergic reaction,0.8547
LIPITOR.958,side effects,3877011000036101,Lipitor,Lipitor,21,3877011000036101,Lipitor,Lipitor,0.2098
LIPITOR.356,side effects,371081002,Arthritis of knee,arthritic knees,37,404640003,Dizziness,dizzy,0.3478
LIPITOR.500,leg cramps,449917004,Cramp in lower limb,Leg cramps,100,449917004,Cramp in lower limb,Leg cramps,1.0
LIPITOR.500,itching,418290006,Itching,itching,100,418290006,Itching,itching,1.0
LIPITOR.500,tingling,62507009,Pins and needles,tingling,100,62507009,Pins and needles,tingling,1.0
LIPITOR.14,pains,22253000,Pain,pain,89,22253000,Pain,pain,0.8
LIPITOR.369,socked,22253000,Pain,pain,0,22253000,Pain,pain,0.3538
LIPITOR.369,arm,22253000,Pain,pain,29,22253000,Pain,pain,0.4072
LIPITOR.507,adverse,56265001,Heart disease,heart desease,50,55929007,Feeling irritable,irritable,0.329
VOLTAREN.22,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
VOLTAREN-XR.17,side,24184005,Finding of increased blood pressure,rise in bp,29,24184005,Finding of increased blood pressure,rise in bp,0.13
VOLTAREN-XR.17,rise,24184005,Finding of increased blood pressure,rise in bp,57,24184005,Finding of increased blood pressure,rise in bp,0.6017
VOLTAREN-XR.17,adverse side effects,24184005,Finding of increased blood pressure,rise in bp,40,24184005,Finding of increased blood pressure,rise in bp,0.0545
LIPITOR.13,adverse,124054003,Increased cholesterol esters,high cholesterol,26,3877011000036101,Lipitor,Lipitor,0.2126
LIPITOR.13,adverse,124054003,Increased cholesterol esters,high cholesterol,26,3877011000036101,Lipitor,Lipitor,0.2126
LIPITOR.13,adverse,124054003,Increased cholesterol esters,high cholesterol,26,3877011000036101,Lipitor,Lipitor,0.2126
LIPITOR.994,side effects,47933007,Foot pain,pain in their feet,40,285365001,Pain in toe,my toes ached,0.2763
LIPITOR.47,myalgia,68962001,Myalgia,myalgia,100,68962001,Myalgia,myalgia,1.0
LIPITOR.47,neuralgia,16269008,Neuralgia,neuralgia,100,16269008,Neuralgia,neuralgia,1.0
LIPITOR.47,insomnia,193462001,Insomnia,insomnia,100,193462001,Insomnia,insomnia,1.0
LIPITOR.47,dementia,52448006,Dementia,dementia,100,52448006,Dementia,dementia,1.0
LIPITOR.47,polyneuropathy,42345000,Polyneuropathy,polyneuropathy,100,42345000,Polyneuropathy,polyneuropathy,1.0
LIPITOR.47,rhabdomyolysis,240131006,Rhabdomyolysis,rhabdomyolisis,93,240131006,Rhabdomyolysis,rhabdomyolisis,0.8473
LIPITOR.47,subdural hematoma,95453001,Subdural haematoma,subdural hematoma,100,95453001,Subdural haematoma,subdural hematoma,1.0
LIPITOR.47,coma,371632003,Coma,coma,100,371632003,Coma,coma,1.0
LIPITOR.47,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.598,side effects,26544005,Muscle weakness,muscle weakness,44,84229001,Fatigue,extreme tiredness,0.3121
LIPITOR.598,extreme tiredness,84229001,Fatigue,extreme tiredness,100,84229001,Fatigue,extreme tiredness,1.0
LIPITOR.598,malais,2297011000036108,magnesium,magnesium,40,162076009,Excessive upper gastrointestinal gas,general feeling of malais,0.7203
LIPITOR.598,side effects,26544005,Muscle weakness,muscle weakness,44,84229001,Fatigue,extreme tiredness,0.3121
LIPITOR.553,rash,271807003,Rash,rash,100,271807003,Rash,rash,1.0
ARTHROTEC.141,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
ARTHROTEC.141,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.141,dizzy,404640003,Dizziness,dizzy,100,404640003,Dizziness,dizzy,1.0
ARTHROTEC.141,sick,271681002,Stomach ache,stomach pain,25,422587007,Nausea,nausea,0.5152
LIPITOR.792,side effects,84445001,Joint stiffness,joint stiffness,44,25064002,Headache,Headaches,0.4086
LIPITOR.792,side effects,84445001,Joint stiffness,joint stiffness,44,25064002,Headache,Headaches,0.4086
LIPITOR.302,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.130,symptoms,271681002,Stomach ache,stomach pain,40,422587007,Nausea,nausea,0.5116
LIPITOR.766,weight gain,8943002,Weight gain,weight gain,100,8943002,Weight gain,weight gain,1.0
LIPITOR.766,periorbital edema,49563000,Periorbital oedema,periorbital edema,100,49563000,Periorbital oedema,periorbital edema,1.0
LIPITOR.766,fatigue,84229001,Fatigue,fatigue,100,84229001,Fatigue,fatigue,1.0
LIPITOR.766,lack of libido,248096004,Lack of libido,lack of libido,100,248096004,Lack of libido,lack of libido,1.0
LIPITOR.766,detachment,8943002,Weight gain,weight gain,38,271594007,Syncope,syncope,0.2551
LIPITOR.82,adverse effects,35489007,Depression,depression,40,35489007,Depression,depression,0.2782
LIPITOR.82,side effects,419145002,Nightmares,vivid nightmares,36,419145002,Nightmares,vivid nightmares,0.286
LIPITOR.905,flatulence,267052005,Flatulence/wind,flatulence,100,267052005,Flatulence/wind,flatulence,1.0
LIPITOR.905,fart,267052005,Flatulence/wind,flatulence,43,267052005,Flatulence/wind,flatulence,0.5912
LIPITOR.562,side effects,68962001,Myalgia,muscle pains,33,68962001,Myalgia,intense muscle pain with intense burning in my legs,0.2582
LIPITOR.85,exhausted,60119000,Exhaustion,exhausted,100,60119000,Exhaustion,exhausted,1.0
LIPITOR.85,weak,13791008,Asthenia,weak,100,13791008,Asthenia,weak,1.0
LIPITOR.85,side effect,26544005,Muscle weakness,muscle weakness,38,60119000,Exhaustion,exhausting,0.2759
LIPITOR.85,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.591,severe cramps,55300003,Muscle cramp,very severe cramps,84,55300003,Muscle cramp,very severe cramps,0.9346
LIPITOR.591,pains,274663001,Acute pain,acute pain,53,76948002,Severe pain,very severe pains,0.801
LIPITOR.591,severe reaction,76948002,Severe pain,very severe pains,62,274663001,Acute pain,acute pain,0.4851
VOLTAREN.40,dreams,419581008,Bizarre dreams,wild dreams,71,419581008,Bizarre dreams,wild dreams,0.7651
LIPITOR.775,side effects,68962001,Myalgia,Muscle pain,26,68962001,Myalgia,Muscle pain,0.2765
LIPITOR.123,mild,68962001,Myalgia,muscle pain,27,271587009,Stiffness,general body stiffness,0.2678
LIPITOR.123,side effects,56731001,Hypertonia,Muscle tightness,36,68962001,Myalgia,muscle pain,0.2765
LIPITOR.123,general body stiffness,271587009,Stiffness,general body stiffness,100,271587009,Stiffness,general body stiffness,1.0
LIPITOR.123,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.578,severe tinnitus,60862001,Tinnitus,severe tintitinitis (ringing in ears),54,60862001,Tinnitus,severe tintitinitis (ringing in ears),0.7853
LIPITOR.540,side affect,3877011000036101,Lipitor,Lipitor,22,225609009,Stiff legs,"left leg, below the knee, experienced stiffness",0.2981
LIPITOR.582,side effects,10601006,Pain in lower limb,aches in legs,40,10601006,Pain in lower limb,aches in legs,0.2408
LIPITOR.576,aching,82991003,Generalised aches and pains,aching (like the flu),44,82991003,Generalised aches and pains,aching (like the flu),0.7144
LIPITOR.576,side effects,278040002,Loss of hair,hair fell out,40,82991003,Generalised aches and pains,aching (like the flu),0.2236
LIPITOR.96,HORRIBLE,224960004,Tired,tired,31,224960004,Tired,tired,0.3059
LIPITOR.96,bad side effects,247806005,Ill-at-ease,uneasiness,38,247806005,Ill-at-ease,uneasiness,0.264
LIPITOR.911,depression,35489007,Depression,very serious depression,61,35489007,Depression,very serious depression,0.8032
LIPITOR.911,thoughts,102911000,Thoughts of self harm,thoughts of hurting myself,47,102911000,Thoughts of self harm,thoughts of hurting myself,0.4839
LIPITOR.929,side effects,449917004,Cramp in lower limb,leg cramps,36,449917004,Cramp in lower limb,leg cramps,0.2363
LIPITOR.571,statin-induced depression,35489007,Depression,depression,57,35489007,Depression,depression,0.5284
LIPITOR.743,side effects,267044007,Impaired exercise tolerance,Exhaustion after exercise,43,267044007,Impaired exercise tolerance,Exhaustion after exercise,0.1563
LIPITOR.65,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
LIPITOR.788,side effects,24184005,Finding of increased blood pressure,high blood pressure,32,3877011000036101,Lipitor,lipitor,0.2098
LIPITOR.141,grapefruit,3877011000036101,Lipitor,Lipitor,35,22253000,Pain,pain,0.2837
VOLTAREN.38,side effects,51197009,Stomach cramps,Stomach cramps,31,51197009,Stomach cramps,Stomach cramps,0.2112
VOLTAREN.38,side effects,51197009,Stomach cramps,Stomach cramps,31,51197009,Stomach cramps,Stomach cramps,0.2112
LIPITOR.179,hyper,44548000,Hyperactive behaviour,hyperactive,62,44548000,Hyperactive behaviour,extremely hyper,0.8261
LIPITOR.179,hyperactive,44548000,Hyperactive behaviour,hyperactive,100,44548000,Hyperactive behaviour,hyperactive,1.0
LIPITOR.945,zombie,247592009,Poor short-term memory,short term memory loss,21,248274002,Lack of energy,no energy all day,0.2644
ARTHROTEC.137,hot flashes,238810007,Flushing,hot flashes,100,238810007,Flushing,hot flashes,1.0
ARTHROTEC.137,Codeine,21821011000036104,codeine,Codeine,100,21821011000036104,codeine,Codeine,1.0
ARTHROTEC.137,hydrocodone,21821011000036104,codeine,Codeine,56,21252011000036100,morphine,morphine,0.4329
ARTHROTEC.137,prednisone,21496011000036106,prednisone,Prednisone,100,21496011000036106,prednisone,Prednisone,1.0
ARTHROTEC.137,corti-cortisones,21779011000036103,cortisone,corti-cortisones,100,21779011000036103,cortisone,corti-cortisones,1.0
ARTHROTEC.137,pseudoephedrine,21540011000036109,pseudoephedrine,pseudoephedrine,100,21540011000036109,pseudoephedrine,pseudoephedrine,1.0
ARTHROTEC.137,morphine,21252011000036100,morphine,morphine,100,21252011000036100,morphine,morphine,1.0
ARTHROTEC.137,demerol,34839011000036106,pethidine,demerol,100,34839011000036106,pethidine,demerol,1.0
ARTHROTEC.137,percocette,21821011000036104,codeine,Codeine,47,34839011000036106,pethidine,demerol,0.3167
ARTHROTEC.137,darvon,34839011000036106,pethidine,demerol,46,34839011000036106,pethidine,demerol,0.4169
ARTHROTEC.137,cyclobenzoprene,21821011000036104,codeine,Codeine,45,21540011000036109,pseudoephedrine,pseudoephedrine,0.3975
ARTHROTEC.137,topical Benedryl,21252011000036100,morphine,morphine,42,21540011000036109,pseudoephedrine,pseudoephedrine,0.4049
LIPITOR.710,blood,3877011000036101,Lipitor,Lipitor,33,22298006,Myocardial infarction,heart attack,0.3349
LIPITOR.710,liver function,10601006,Pain in lower limb,leg pain,45,3877011000036101,Lipitor,Lipitor,0.1616
LIPITOR.374,side effects,55300003,Muscle cramp,muscle cramps,40,235856003,Liver disease,liver problems,0.2815
LIPITOR.146,side effects,267953003,Arthralgia of the lower leg,sore leg joints,44,22253000,Pain,ache,0.3023
LIPITOR.987,side effects,111516008,Blurring of visual image,vision became blurry,31,247464001,Blistering rash,blisterey rash on my legs,0.2917
LIPITOR.987,side effects,111516008,Blurring of visual image,vision became blurry,31,247464001,Blistering rash,blisterey rash on my legs,0.2917
LIPITOR.389,muscle cramps,55300003,Muscle cramp,muscle cramps,100,55300003,Muscle cramp,muscle cramps,1.0
LIPITOR.389,dizziness,404640003,Dizziness,dizziness,100,404640003,Dizziness,dizziness,1.0
VOLTAREN.3,upset,162059005,Upset stomach,upset stomach,56,162059005,Upset stomach,upset my stomach,0.6215
VOLTAREN.3,side effects,162059005,Upset stomach,upset stomach,32,162059005,Upset stomach,upset my stomach,0.3931
ARTHROTEC.101,cramping,55300003,Muscle cramp,cramping,100,55300003,Muscle cramp,cramping,1.0
ARTHROTEC.101,upset stomache,162059005,Upset stomach,upset stomache,100,162059005,Upset stomach,upset stomache,1.0
ARTHROTEC.101,side effects,267036007,Dyspnoea,shortness of breath,39,162059005,Upset stomach,upset stomache,0.3341
LIPITOR.719,blisters,417237009,Blister,blisters,100,417237009,Blister,blisters,1.0
LIPITOR.719,fire,417237009,Blister,blisters,33,417237009,Blister,blisters,0.2253
LIPITOR.973,E.D.,10601006,Pain in lower limb,Leg pains,15,48167000,Amnesia,loss of memory,0.1521
PENNSAID.1,relief,162076009,Excessive upper gastrointestinal gas,gastro effects,30,22253000,Pain,pain,0.5402
PENNSAID.1,gastro effects,162076009,Excessive upper gastrointestinal gas,gastro effects,100,162076009,Excessive upper gastrointestinal gas,gastro effects,1.0
LIPITOR.184,side effects,63102001,Visual disturbance,vision problems,37,57676002,Arthralgia,joint pain,0.2606
LIPITOR.184,side effects,63102001,Visual disturbance,vision problems,37,57676002,Arthralgia,joint pain,0.2606
LIPITOR.184,side effects,63102001,Visual disturbance,vision problems,37,57676002,Arthralgia,joint pain,0.2606
VOLTAREN-XR.2,side effects,271681002,Stomach ache,stomach discomfort,27,22253000,Pain,pain,0.3189
LIPITOR.38,Side effects,422587007,Nausea,mild nausea,35,422587007,Nausea,mild nausea,0.4655
LIPITOR.38,side effects,422587007,Nausea,mild nausea,35,422587007,Nausea,mild nausea,0.4655
LIPITOR.38,severe,76948002,Severe pain,severe muscle pain,50,76948002,Severe pain,severe muscle pain,0.4492
LIPITOR.38,burning,90673000,Burning sensation,burning,100,90673000,Burning sensation,burning,1.0
LIPITOR.38,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.38,mild,422587007,Nausea,mild nausea,53,422587007,Nausea,mild nausea,0.5612
LIPITOR.38,nausea,422587007,Nausea,mild nausea,71,422587007,Nausea,mild nausea,0.8052
LIPITOR.38,side effects,422587007,Nausea,mild nausea,35,422587007,Nausea,mild nausea,0.4655
LIPITOR.183,muscle ache/pain,68962001,Myalgia,muscle pain,81,68962001,Myalgia,muscle ache,0.9434
LIPITOR.183,Diarrehea,62315008,Diarrhoea,Diarrehea,100,62315008,Diarrhoea,Diarrehea,1.0
LIPITOR.114,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
LIPITOR.114,sweating,415690000,Sweating,sweating,100,415690000,Sweating,sweating,1.0
LIPITOR.114,horrible,32970011000036103,Toprol-XL,Toprol,43,422587007,Nausea,nausea,0.2953
LIPITOR.742,side effects,30989003,Knee pain,Pain in knees,40,22253000,Pain,pain,0.3189
LIPITOR.742,pain killers,30989003,Knee pain,Pain in knees,64,22253000,Pain,pain,0.6462
LIPITOR.742,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.570,side,79395009,Dry hair,hair dryness,38,288228002,Myalgia/myositis - forearm,Muscle Pain in left arm,0.2736
LIPITOR.570,effects,79395009,Dry hair,hair dryness,21,3877011000036101,Lipitor,Lipitor,0.3291
LIPITOR.789,side effects,35489007,Depression,depression,36,48694002,Anxiety,anxiety,0.3229
LIPITOR.64,brain fog,419723007,Mentally dull,brain fog,100,419723007,Mentally dull,brain fog,1.0
LIPITOR.64,impaired memory,386807006,Memory impairment,impaired memory,100,386807006,Memory impairment,impaired memory,1.0
LIPITOR.319,adverse reactions,68962001,Myalgia,muscle aching,47,57676002,Arthralgia,Joint pain,0.3088
LIPITOR.321,side effects,76948002,Severe pain,severe pain in feet,39,76948002,Severe pain,severe pain in legs,0.2392
LIPITOR.321,severe,76948002,Severe pain,severe pain in hips,48,76948002,Severe pain,severe pain in back,0.363
LIPITOR.321,pain,3877011000036101,Lipitor,Lipitor,36,76948002,Severe pain,severe pain in back,0.5036
LIPITOR.910,drugged,307074005,Feeling high,feel drugged,74,307074005,Feeling high,feel drugged,0.7972
LIPITOR.910,side effects,307074005,Feeling high,feel drugged,25,307074005,Feeling high,feel drugged,0.356
LIPITOR.548,side effects,248132003,Craving for food or drink,crave sweets,50,162059005,Upset stomach,stomach upset,0.3123
LIPITOR.97,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.97,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.773,side effects,45326000,Shoulder pain,very bad pains in shoulders,26,22253000,Pain,pain,0.3189
LIPITOR.780,symptoms,3877011000036101,Lipitor,Lipitor,40,267031002,Tiredness symptom,TIREDNESS,0.4667
LIPITOR.780,neck pains,81680005,Neck pain,neck pains,100,81680005,Neck pain,neck pains,1.0
LIPITOR.780,side affect,267031002,Tiredness symptom,TIREDNESS,30,267031002,Tiredness symptom,TIREDNESS,0.3879
LIPITOR.99,pain,22253000,Pain,pain,100,22253000,Pain,pain,1.0
LIPITOR.546,side effects,36971009,Sinusitis,sinus infection,52,36955009,Loss of taste,taste loss,0.3463
LIPITOR.546,side-effects,36971009,Sinusitis,sinus infection,44,3559011000036109,Zoloft,Zoloft,0.3773
LIPITOR.546,Insomina,193462001,Insomnia,Insomina,100,193462001,Insomnia,Insomina,1.0
LIPITOR.546,abnoraml dreams,85418005,Abnormal dreams,abnoraml dreams,100,85418005,Abnormal dreams,abnoraml dreams,1.0
LIPITOR.546,depression,35489007,Depression,depression,100,35489007,Depression,depression,1.0
LIPITOR.546,memory loss,48167000,Amnesia,memory loss,100,48167000,Amnesia,memory loss,1.0
LIPITOR.546,photosensitivity,90128006,Photosensitivity,photosensitivity,100,90128006,Photosensitivity,photosensitivity,1.0
LIPITOR.546,muscle pain,68962001,Myalgia,muscle pain,100,68962001,Myalgia,muscle pain,1.0
LIPITOR.546,leg cramps,449918009,Cramp in lower leg,leg cramps,100,449918009,Cramp in lower leg,leg cramps,1.0
LIPITOR.546,rhinitis,70076002,Rhinitis,rhinitis,100,70076002,Rhinitis,rhinitis,1.0
LIPITOR.546,bronchitis,32398004,Bronchitis,bronchitis,100,32398004,Bronchitis,bronchitis,1.0
LIPITOR.546,dry skin,16386004,Dry skin,dry skin,100,16386004,Dry skin,dry skin,1.0
LIPITOR.546,tinnitus,60862001,Tinnitus,tinnitus,100,60862001,Tinnitus,tinnitus,1.0
LIPITOR.546,taste loss,36955009,Loss of taste,taste loss,100,36955009,Loss of taste,taste loss,1.0
LIPITOR.546,dry eyes,162290004,Dry eyes,dry eyes,100,162290004,Dry eyes,dry eyes,1.0
LIPITOR.546,weight gain,8943002,Weight gain,weight gain,100,8943002,Weight gain,weight gain,1.0
LIPITOR.546,tinnitus,60862001,Tinnitus,tinnitus,100,60862001,Tinnitus,tinnitus,1.0
LIPITOR.546,depression,35489007,Depression,depression,100,35489007,Depression,depression,1.0
LIPITOR.546,side-effects,36971009,Sinusitis,sinus infection,44,3559011000036109,Zoloft,Zoloft,0.3773
LIPITOR.546,syptoms,301202006,Nasal sinus problem,sinus problems,48,22253000,Pain,pain,0.4008
LIPITOR.546,side effects,36971009,Sinusitis,sinus infection,52,36955009,Loss of taste,taste loss,0.3463
VOLTAREN.5,effects,61777011000036104,codeine + ibuprofen,Ibuprofen plus,29,162059005,Upset stomach,upset my stomach,0.3354
VOLTAREN.5,stomach,162059005,Upset stomach,upset my stomach,61,162059005,Upset stomach,upset my stomach,0.6735
LIPITOR.182,side effects,267031002,Tiredness symptom,tiredness,38,267031002,Tiredness symptom,tiredness,0.3516
VOLTAREN.37,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
LIPITOR.39,itchiness,418363000,Itching of skin,skin itchiness,78,418363000,Itching of skin,skin itchiness,0.8668
VOLTAREN-XR.3,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
ARTHROTEC.138,side effect,162043005,Hunger pain,hungry feeling,24,162043005,Hunger pain,hungry feeling,0.2391
LIPITOR.176,side effects,68566005,Urinary tract infection,urinery tract infection,40,22253000,Pain,pain,0.3189
ARTHROTEC.100,side effects,426965005,Aphthous ulcer,canker sores,33,25064002,Headache,headache,0.3502
LIPITOR.972,bedridden,160685001,Bed-ridden,bedridden,100,160685001,Bed-ridden,bedridden,1.0
LIPITOR.972,cautious,286369003,Unable to speak,unable to speak,35,363346000,Malignant neoplastic disease,cancer,0.2612
LIPITOR.972,Rxs,363346000,Malignant neoplastic disease,cancer,22,3877011000036101,Lipitor,Lipitor,0.2002
VOLTAREN.2,dizzy,404640003,Dizziness,dizzy,100,404640003,Dizziness,dizzy,1.0
LIPITOR.343,poison,3877011000036101,Lipitor,lipitor,46,3877011000036101,Lipitor,lipitor,0.4137
LIPITOR.727,gas,162076009,Excessive upper gastrointestinal gas,gas,100,162076009,Excessive upper gastrointestinal gas,gas,1.0
LIPITOR.727,side effects,267052005,Flatulence/wind,Severe gas,45,289903006,Menopause present,menopause,0.2704
LIPITOR.727,unpleasant,289903006,Menopause present,menopause,42,82272006,Common cold,cold,0.3179
LIPITOR.727,side effect,399153001,Vertigo,severe vertigo,40,161873000,Heavy legs,legs feel leaden,0.2933
LIPITOR.727,side effects,267052005,Flatulence/wind,Severe gas,45,289903006,Menopause present,menopause,0.2704
LIPITOR.515,tiring,80449002,Muscle fatigue,muscle tiring,63,80449002,Muscle fatigue,muscle tiring,0.784
LIPITOR.515,fatigue,84229001,Fatigue,fatigue,100,84229001,Fatigue,fatigue,1.0
LIPITOR.185,effects,95891005,Influenza-like illness,flu like symptoms,33,73595000,Stress,stress,0.4109
VOLTAREN.30,diarrhea,62315008,Diarrhoea,diarrhea,100,62315008,Diarrhoea,diarrhea,1.0
VOLTAREN.30,side effects,21288011000036105,diclofenac,diclofenac,36,62315008,Diarrhoea,diarrhea,0.372
LIPITOR.944,dehydration,450316000,Severe dehydration,extreme dehydration,73,450316000,Severe dehydration,extreme dehydration,0.8718
LIPITOR.944,microabrasions,283050005,Abrasion of eye region,eyes microabrasions,85,283050005,Abrasion of eye region,eyes microabrasions,0.6941
LIPITOR.944,constipated,14760008,Constipation,constipated,100,14760008,Constipation,constipated,1.0
LIPITOR.147,severe muscle pull/strain,48532005,Muscle strain,severe muscle pull/strain,100,48532005,Muscle strain,severe muscle pull/strain,1.0
LIPITOR.381,muscle spasms,55300003,Muscle cramp,muscle spasms,100,55300003,Muscle cramp,muscle spasms,1.0
LIPITOR.381,muscle spasms,55300003,Muscle cramp,muscle spasms,100,55300003,Muscle cramp,muscle spasms,1.0
ARTHROTEC.131,nausea,422587007,Nausea,nausea,100,422587007,Nausea,nausea,1.0
ARTHROTEC.131,bleeding,131148009,Bleeding,bleeding,100,131148009,Bleeding,bleeding,1.0
ARTHROTEC.131,cramps,55300003,Muscle cramp,cramps,100,55300003,Muscle cramp,cramps,1.0
LIPITOR.943,pain killers,82991003,Generalised aches and pains,pains all over body,58,82991003,Generalised aches and pains,pains all over body,0.5204
LIPITOR.386,muscle aches,68962001,Myalgia,muscle aches,100,68962001,Myalgia,muscle aches,1.0
LIPITOR.386,weakness,13791008,Asthenia,weakness,100,13791008,Asthenia,weakness,1.0
LIPITOR.386,stiffness,271587009,Stiffness,stiffness,100,271587009,Stiffness,stiffness,1.0
